id,category,subCategory,detailCategory,tags
491,법규·행정,면허·등록,면허·등록,안전검사|임시검사|신규검사|무선설비|기적|운항
492,법규·행정,운항규칙,운항규칙,수상레저안전법|조종|해상교통안전법
493,법규·행정,면허·등록,면허·등록,조종면허|수상레저안전법|기관|추진기|조종|마력
494,법규·행정,운항규칙,운항규칙,구명조끼|수상레저안전법|수상레저활동자|과태료
495,법규·행정,벌칙·행정처분,벌칙·과태료,안전검사|운항|벌칙|과태료|벌금|징역
496,법규·행정,운항규칙,운항규칙,수상레저안전법|원거리 수상레저활동|과태료|신고
497,법규·행정,면허·등록,면허·등록,조종면허|수상레저안전법|조종|면허|수상오토바이|모터보트
498,법규·행정,면허·등록,면허·등록,선수|조종면허|면허시험|수상레저안전법|조종|면허
499,법규·행정,면허·등록,면허·등록,등록|수상오토바이|모터보트|기관이|선외기|추진기
500,법규·행정,면허·등록,면허·등록,인명구조|실기시험|조종면허|면허시험|수상레저안전법|해양경찰청장
501,법규·행정,면허·등록,면허·등록,실기시험|조종면허|면허시험|수상레저안전법|조종|면허
502,법규·행정,면허·등록,면허·등록,조종면허|면허시험|수상레저안전법|해양경찰청장|기관|조종
503,구명·조난·소방,구명설비,구명설비,구명조끼|구명부환|조난신호|수상레저안전법|해양경찰서장|해양경찰청장
504,법규·행정,운항규칙,운항규칙,수상레저안전법
505,법규·행정,벌칙·행정처분,벌칙·과태료,면허취소|효력정지|조종면허|수상레저안전법|정지|조종
506,법규·행정,면허·등록,면허·등록,조종면허|안전검사|수상레저안전법|해양경찰청장|조종|승선
507,법규·행정,보험·행정,보험·신고,시장·군수·구청장|등록
508,법규·행정,면허·등록,면허·등록,말소등록|시장·군수·구청장|등록
509,법규·행정,운항규칙,운항규칙,수상레저안전법|망|운항|등록|보험
510,법규·행정,면허·등록,면허·등록,안전검사|임시검사|신규검사|수상레저안전법|운항|등록
511,법규·행정,면허·등록,면허·등록,안전검사|신규검사|등록
512,법규·행정,운항규칙,운항규칙,수상레저안전법|등록
513,선박 조종술 및 운용,실기시험,실기시험,모터보트|실기시험|채점기준|운항코스|조종면허|수상레저안전법
514,법규·행정,면허·등록,면허·등록,조종면허|수상레저안전법|기관|조종|운항|면허
515,항해·해도·항로표지,항법,충돌예방항법,음향신호|앞지르기|수상레저안전법|운항방법|횡단|충돌
516,선박 조종술 및 운용,실기시험,실기시험,인명구조|실기시험|채점기준|운항코스|조종면허|수상레저안전법
517,선박 조종술 및 운용,실기시험,실기시험,실기시험|채점기준|운항코스|출발 전 점검|조종면허|수상레저안전법
518,선박 조종술 및 운용,운항,운항상식,수상오토바이|모터보트|등록
519,선박 조종술 및 운용,실기시험,실기시험,물에 빠|인명구조|실기시험|채점기준|운항코스|조종면허
520,법규·행정,면허·등록,면허·등록,조종면허|면허시험|수상레저안전법|조종|면허|면허증
521,법규·행정,운항규칙,운항규칙,수상레저안전법
522,선박 조종술 및 운용,실기시험,실기시험,구명부환|실기시험|채점기준|운항코스|출발 전 점검|조종면허
523,법규·행정,보험·행정,보험·신고,시장·군수·구청장|등록|신고
524,법규·행정,면허·등록,면허·등록,등록
525,법규·행정,보험·행정,보험·신고,신규검사|해양경찰서장|시장·군수·구청장|점검|해수|운항
526,법규·행정,운항규칙,운항규칙,구명조끼|수상레저안전법|등록
