일련번호,최대승객수,최대선원수,출입항명,낚시어선영업구역명,낚시어선영업장소명,영업장소특수주소
1,6,1,해제면 용학리 마실선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,
2,6,1,운남면 성내리 남촌선착장,전라남도  연안일원,전라남도 무안군 운남면 성내리 남촌선착장,
3,4,1,무안군 현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
4,11,1,무안군 현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
5,5,1,망운면 탄도리 탄도선착장,전라남도  연안일원,전라남도 무안군 망운면 탄도리 탄도선착장,
6,4,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
7,6,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
8,5,1,장고항항,충청남도해상일원,충청남도해상일원(안섬포구),
9,5,1,장고항항,충청남도해상일원,충청남도해상일원(안섬포구),
10,6,1,장고항항,충청남도해상일원,충청남도해상일원,
11,7,1,장고항항,충청남도해상일원,충청남도해상일원(안섬포구),
12,3,1,현경면 오류리 홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
13,4,1,현경면  홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
14,3,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
15,6,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
16,6,1,운남면 성내리 남촌항,전라남도  연안일원,전라남도 무안군 운남면 성내리 남촌항,
17,3,1,망운면 송현리 송현선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 송현선착장,
18,3,1,46840370,전남연해일원,무안군해역,
19,3,1,운남면,전남,전남 무안군,
20,5,1,46840370,무안군,무안군 운남면,
21,3,1,46840370,무안군,무안군 운남면,
22,4,1,청계면 복길항,전라남도  연안일원,전라남도 무안군 청계면 복길리 복길항,복길항
23,4,1,운남면 도원선착장,전라남도  연안일원,전라남도 무안군 운남면 성내리 도원선착장,도원선착장
24,4,1,운남면 남촌선착장,전라남도  연안일원,전라남도 무안군 운남면 성내리 남촌선착장,남촌선착장
25,6,1,해제면 마실 선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,마실선착장
26,6,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
27,11,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
28,5,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
29,3,1,청계면 복길항,전라남도  연안일원,전라남도 무안군 청계면 복길리 복길항,복길항
30,6,1,창매 선착장,전라남도  연안일원,전라남도 무안군 해제면 창매리,
31,3,1,망운면 조금나루선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 조금나루선착장,조금나루선착장
32,7,1,망운면 조금나루 선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 조금나루 선착장,조금나루 선착장
33,3,1,망운면 조금나루 선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리,
34,5,1,운남면 남촌선착장,전라남도  연안일원,전라남도 무안군 운남면 성내리 남촌선착장,남촌선착장
35,7,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
36,16,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
37,11,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
38,11,1,궁항,전라북도  연안일원,전라북도 부안군 변산면 (궁항),
39,17,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
600,4,1,위도면,,,
40,17,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
41,14,1,"위도항, 격포항",전라북도  연안일원,,
42,16,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
43,17,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
44,14,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
45,11,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
46,7,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
47,7,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 위도항,격포항)",
48,7,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
49,17,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
50,14,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
51,4,1,장고항항,충청남도해상일원,충청남도해상일원(한진포구),
52,7,1,장고항항,충청남도해상일원,충청남도해상일원(음섬포구),
53,7,1,장고항항,,,
54,7,1,장고항항,충청남도해상일원,충청남도해상일원(용무지항),
55,4,1,운남면,무안군해역일원,,
56,3,1,운남면,관할 선적항으로부터 3마일이내,무안군 운남면 도원선착장,
57,4,1,운남면,관할 선적항으로부터 3마일이내,무안군 운남면 도원선착장,
58,3,1,운남면,관할 선적항으로부터 3마일이내,무안군 운남면 도원선착장,
59,3,1,운남면,관할 선적항으로부터 3마일이내,무안군 운남면 도원선착장,
60,2,1,운남면,관할 선적항으로부터 3마일이내,무안군 운남면 신월선착장,
61,3,1,운남면,관할 선적항으로부터 3마일이내,무안군 운남면 신월선착장,
62,3,1,46840370,전남연해일원,무안군해역,
63,3,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
64,11,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
65,4,1,운남면 성내리 도원선착장,전라남도  연안일원,전라남도 무안군 무안읍 성내리 도원선착장,
66,3,1,해제면 용학리 마실선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,
67,3,1,해제면 용학리 마실선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,
68,4,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,
69,3,1,망운면 송현리 조금나루선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 조금나루선착장,
70,7,1,해제면 용학리 마실선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,
71,4,1,무안군 현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,
72,11,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
73,15,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
74,4,1,왕포항,전라북도  연안일원,전라북도 부안군 진서면 (왕포항),
75,9,1,가력항,전라북도  연안일원,전라북도 부안군 변산면 (가력항),
76,11,1,가력항,전라북도  연안일원,전라북도 부안군 변산면 (가력항),
77,13,1,"(위도항,격포항)",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
78,10,1,"(가력항,격포항)",전라북도  연안일원,"전라북도 부안군 변산면 (가력항,격포항)",
79,17,1,"(위도항,격포항)",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
80,15,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
601,7,1,위도면,,,
81,21,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
82,11,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
83,17,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
84,,,위도면,,,
85,17,1,"위도항,격포항",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
86,17,1,"위도항,격포항",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
87,7,1,가력항,전라북도  연안일원,전라북도 부안군 변산면 (가력항),
88,3,1,왕포항,전라북도  연안일원,전라북도 부안군 진서면 (왕포항),
89,6,1,해제면 용학리 마실선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,
90,3,1,해제면 유월리 물암선착장,전라남도  연안일원,전라남도 무안군 해제면 유월리 물암선착장,
91,4,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
92,4,1,해제면 유월리 물암선착장,전라남도  연안일원,전라남도 무안군 해제면 유월리 물암선착장,
93,4,1,망운면 피서리 톱머리항,전라남도  연안일원,전라남도 무안군 망운면 피서리 톱머리항,
94,7,1,해제면 유월리 물암선착장,전라남도  연안일원,전라남도 무안군 해제면 유월리 물암선착장,
95,11,1,망운면 송현리 조금나루선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 조금나루선착장,
96,4,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
97,8,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
98,4,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
99,3,1,홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
100,3,1,홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
101,7,1,홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리,
102,4,1,운남 도원항,전라남도  연안일원,전라남도 무안군 운남면 성내리,
103,3,1,도원항,전라남도  연안일원,전라남도 무안군 운남면 성내리,
104,2,1,홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
105,6,1,홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
106,3,1,홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
107,5,1,조금나루 선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리,
108,4,1,운남면 성내리 남촌항,전라남도  연안일원,전라남도 무안군 운남면 성내리,
109,3,1,해제면 도리포항,전라남도  연안일원,전라남도 무안군 해제면 송석리 도리포항,도리포항
110,7,1,홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통 선착장,홀통 선착장
111,3,1,현경면 오류리 홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
112,3,1,4684000000,전남연해일원,전남 무안군,
113,3,1,왕포항,전라북도  연안일원,전라북도 부안군 진서면 (왕포항),
114,7,1,"(격포항, 위도항)",전라북도  연안일원,"전라북도 부안군 위도면 (격포항,위도항)",
115,15,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
116,17,1,"(격포항,위도항)",전라북도  연안일원,"전라북도 부안군 위도면 격포항,위도항",
117,17,1,"(위도항,격포항)",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
118,5,1,운남면,관할 선적항으로부터 5마일이내,무안군 운남면 신월선착장,
119,7,1,청계면,전남연해일원,무안군 청계면 구로선착장,
294,4,1,진서면,전라북도연해,"격포,왕포항",
120,3,1,현경면,관할 선적항으로부터 3마일(4.82,무안군 현경면 홀통,
121,5,1,청계면,전남연해일원,무안군 청계면 구로선착장,
122,5,1,무안군 무안읍,전남연해일원,무안군 청계면 구로선착장,
123,5,1,망운면,전남연해일원,청계면 구로선착장,
124,17,1,해제면,전남연안일원,무안군 해제면 만풍리,
125,3,1,현경면,관할 선적항으로부터 3마일(4.82,무안군 현경면 홀통,
126,4,1,운남면,관할 선적항으로부터 3마일이내,무안군 운남면 도원선착장,
127,3,1,운남면,관할 선적항으로부터 3마일이내,무안군 운남면 도원선착장,
128,7,1,운남면,관할 선적항으로부터 5마일이내,무안군 운남면 도원선착장,
129,18,1,망운면,전남연해일원,전남 목포시 북항,
130,11,1,삼향면,전남연해일원,무안군 청계면,
131,7,1,청계면,전남연해일원,목포시 갓바위해안가,
132,17,1,해제면,전남연해일원,전남 해남군 화원면 용호리 별암선착장,
133,7,1,현경면,관할 선적항으로부터 3마일(4.82,무안군 현경면 홀통선착장,
134,4,1,망운면,전남연해일원,무안군 운남면 신월선착장,
135,7,1,현경면,관할 선적항으로부터 3마일,무안군 현경면 홀통,
136,3,1,현경면,관활선적항으로부터 3마일,무안군 현경면 홀통,
137,3,1,운남면,관할 선적항으로부터 3마일이내,무안군 운남면 성내리 도원선착장,
138,4,1,운남면,관할 선적항으로부터 3마일이내,무안군 운남면 성내리 도원선착장,
139,18,1,망운면,전남연안일원,전남 목포시 평화광장,
140,7,1,현경면,관할 선적항으로부터 3마일이내,무안군 현경면 홀통대행신고소,
141,3,1,망운면 조금나루 선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 조금나루 선착장,조금나루 선착장
142,3,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
143,7,1,해제면 유월선착장,전라남도  연안일원,전라남도 무안군 해제면 유월리 물암선착장,물암선착장
144,14,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
145,3,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
146,3,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
147,14,1,현경면 홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
148,3,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
149,3,1,해제면 유월리 용유선착장,전라남도  연안일원,전라남도 무안군 해제면 유월리 용유선착장,용유선착장
150,11,1,용무지항,충청남도해상일원,충청남도해상일원(용무지항),
151,11,1,장고항항,충청남도해상일원,충청남도해상일원(장고항항),
152,12,1,장고항항,충청남도해상일원,충청남도해상일원(장고항항),
153,16,1,장고항항,충청남도해상일원,충청남도해상일원(장고항항),
154,8,1,장고항항,충청남도해상일원,충청남도해상일원(장고항항),
155,7,1,장고항항,충청남도해상일원,충청남도해상일원(음섬포구),
156,8,1,장고항항,충청남도해상일원,충청남도해상일원(깔판포구),
157,11,1,용무지항,충청남도해상일원,충청남도해상일원(장고항항),
158,11,1,장고항항,충청남도해상일원,충청남도해상일원(장고항항),
159,5,1,장고항,충청남도해상일원,충청남도해상일원(한진포구),
160,4,1,장고항항,충청남도해상일원,충청남도해상일원(한진포구),
161,8,1,장고항항,충청남도해상일원,충청남도해상일원(장고항항),
162,15,1,장고항항,충청남도해상일원,충청남도해상일원(장고항항),
163,11,1,왜목항,충청남도해상일원,충청남도해상일원(도비도항),
164,6,1,장고항항,충청남도해상일원,충청남도해상일원(음섬포구),
165,7,1,장고항항,충청남도해상일원,충청남도해상일원(음섬포구),
166,11,1,당진 용무지항,충청남도해상일원,충청남도해상일원(용무지항),
167,11,1,용무치항,충청남도해상일원,충청남도해상일원(용무지항),
168,8,1,장고항항,충청남도해상일원,충청남도해상일원(장고항항),
169,4,1,운남면,전남,무안군 운남면,
170,4,1,장고항항,충청남도해상일원,충청남도해상일원(한진포구),
171,12,1,난지도항,충청남도연안일원,충청남도연안일원(난지도항),
172,13,1,난지도,충청남도해상일원,충청남도해상일원(난지도항),
173,3,1,장고항항,충청남도해상일원,충청남도해상일원(한진포구),
174,12,1,당진군,충청남도해상일원,충청남도해상일원(장고항항),
175,3,1,장고항항,충청남도해상일원,충청남도해상일원(한진포구),
176,10,1,난지도항,충청남도해상일원,충청남도해상일원(난지도항),
177,6,1,장고항,충청남도해상일원,충청남도해상일원(한진포구),
178,15,1,난지도항,충청남도해상일원,충청남도해상일원(난지도항),
179,8,1,장고항항,충청남도해상일원,충청남도해상일원(깔판포구),
180,8,1,장고항항,충청남도해상일원,충청남도해상일원(깔판포구),
181,8,1,장고항항,충청남도해상일원,충청남도해상일원(깔판포구),
182,11,1,당진군 석문면,충청남도해상일원,충청남도해상일원(용무지항),
183,3,1,,전남,,
184,11,1,무안군 현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
185,7,1,망운면 피서리 톱머리항,전라남도  연안일원,전라남도 무안군 망운면 피서리 톱머리항,
186,6,1,운남면 성내리 남촌항,전라남도  연안일원,전라남도 무안군 운남면 성내리 남촌항,
187,3,1,망운면 송현리 송현선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 송현선착장,
188,3,1,해제면 용학리 마실선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,
189,6,1,해제면 용학리 마실선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,
190,6,1,망운면 송현리 조금나루선착장,전라남도 연안일원,전라남도 무안군 망운면 송현리 조금나루선착장,
191,2,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
192,7,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
193,5,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
194,5,1,해제면 천장리 마실항,전라남도  연안일원,전라남도 무안군 해제면 천장리 마실항,
195,5,1,전남 무안군 해제면 마실항,전라남도  연안일원,전라남도 무안군 해제면 천장리 마실항,
196,11,1,무안군 해제면 도리포항,전라남도  연안일원,전라남도 무안군 해제면 도리포항,
197,11,1,망운면 송현리 조금나루선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 조금나루선착장,
198,5,1,무안군 삼향읍 마동항,전라남도  연안일원,전라남도 무안군 삼향읍 마동항,
199,5,1,해제면 천장리 마실항,전라남도  연안일원,전라남도 무안군 해제면 천장리 마실항,
200,14,1,장고항항,충청남도해상일원,충청남도해상일원(장고항항),
201,6,1,장고항항,충청남도해상일원,충청남도해상일원(안섬포구),
202,6,1,장고항항,충청남도해상일원,충청남도해상일원(안섬포구),
203,3,1,망운면 송현항,전라남도  연안일원,전라남도 무안군 망운면 송현리,
204,3,1,해제면 물암선착장,전라남도  연안일원,전라남도 무안군 해제면 유월리,
205,3,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
206,7,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
207,4,1,운남면 도원선착장,전라남도  연안일원,전라남도 무안군 운남면 성내리 도원선착장,도원선착장
208,12,1,,전라북도  연안일원,,
209,3,1,운남면 도원선착장,전라남도  연안일원,전라남도 무안군 운남면 성내리 도원선착장,도원선착장
210,4,1,운남면 남촌항,전라남도  연안일원,전라남도 무안군 운남면 성내리 남촌선착장,남촌선착장
211,6,1,해제면 용유선착장,전라남도  연안일원,전라남도 무안군 해제면 유월리 용유선착장,용유선착장
212,4,1,망운면 조금나루 선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 조금나루선착장,조금나루선착장
213,5,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
214,6,1,해제면 용유 선착장,전라남도  연안일원,전라남도 무안군 해제면 유월리 용유선착장,용유선착장
215,3,1,현경면 홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
216,6,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
217,4,1,현경면 홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
218,7,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
219,2,1,현경면,관할 선적항으로부터 3마일이내,전남 무안군 현경면 홀통,
220,6,1,현경면,전남연해일원,전남 무안군 현경면 홀통선착장,
221,4,1,운남면,관할 선적항으로부터 3마일 이내,무안군 운남면 성내리 남촌항,
222,3,1,망운면,선적항으로부터 3마일 이내,무안군 망운면 송현리 조금나루선착장,
223,7,1,현경면 오류리 홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리  홀통선착장,
224,3,1,운남면,전남,무안군 운남면,
225,11,1,홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
226,9,1,해제면 용학리 마실선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,
227,4,1,망운면 탄도선착장,전라남도  연안일원,전라남도 무안군 망운면 탄도리  탄도선착장,
228,1,7,망운면 조금나루항,전라남도  연안일원,전라남도 무안군 망운면 송현리 조금나루항,
229,9,1,해제면 용학리 마실선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리,
230,4,1,무안군 현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
231,6,1,무안군 현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
232,6,1,무안군 현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
233,3,1,무안군 현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
234,6,1,해제면 용학리 마실선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,
235,11,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
236,9,1,"위도항, 격포항",전라북도연안일원(후면참조),,
237,13,1,"격포항,위도항",전라북도연안일원(후면참조),,
238,5,1,"격포항,위도항",전라북도연안일원(후면참조),,
239,10,1,"격포항,위도항",전라북도연안일원(후면참조),,
240,11,1,"격포항,위도항",전라북도연안일원(후면참조),,
241,4,1,"격포항,위도항",전라북도연안일원(후면참조),,
340,9,1,위도항,전라북도  연안일원,,
242,7,1,가력도항,전라북도연안일원(후면참조),전라북도 부안군 변산면 (가력항),
243,10,1,가력도항,전라북도연안일원(후면참조),전라북도 부안군 변산면 (가력항),
244,9,1,위도면,전라북도  연안일원,,
245,4,1,변산면,전라북도  연안일원,,
246,4,1,위도면,전라북도  연안일원,,
247,15,1,위도면,전라북도  연안일원,,
248,4,1,변산면,전라북도  연안일원,,
249,9,1,변산면,전라북도  연안일원,,
250,9,1,위도면,전라북도  연안일원,,
251,5,1,변산면,전라북도  연안일원,,
252,15,1,위도면,전라북도  연안일원,,
253,4,1,,전라북도  연안일원,,
254,14,1,"위도항, 격포항",전라북도 연안일원(후면참조),,
255,15,1,,전라북도  연안일원,,
256,,,변산면,,,
257,12,1,"위도항, 격포항",전라북도  연안일원,,
258,15,1,격포항,전라북도연안일원(후면참조),,
259,20,2,격포항,전라북도  연안일원,,
260,21,1,격포항,전라북도연안일원(후면참조),전라북도 부안군 변산면 (격포항),
261,5,1,작당항,전라북도  연안일원,,
262,10,1,격포항,전라북도  연안일원,,
263,11,1,격포항,전라북도 연안일원(후면참조),전라북도 부안군 변산면 격포리 788번지 12호,
264,15,1,"격포항,위도항",전라북도 연안일원(후면참조),,
265,17,1,격포항,전라북도  연안일원,,
266,10,1,격포항,전라북도연안일원(후면참조),,
267,7,1,"격포항,위도항",전라북도연안일원(후면참조),,
268,10,1,(격포항),전라북도  연안일원,전라북도 부안군 변산면 (격포항),
269,17,1,격포항,전라북도  연안일원,,
270,17,1,위도면,전라북도연해,"벌금,격포",
271,10,1,변산면,전라북도연해,격포항,
272,4,1,진서면,전라북도연해,작당,
273,4,1,위도면,전라북도연해,치도항,
274,4,1,변산면,전북연해,모항,
275,3,1,진서면,전라북도연해,왕포,
276,11,1,위도면,전라북도연해,,
277,7,1,위도면,전라북도연해,"위도,격포항",
278,4,1,진서면,전라북도연해,"왕포,격포항",
279,14,1,위도면,전라북도연해,"위도항,격포항",
280,5,1,변산면,전라북도연해,가력항,
281,4,1,위도면,,,
282,3,1,변산면,,"송포,가력항",
283,15,1,"격포항, 위도항",전라북도 연안일원(후면참조),,
284,5,1,작당항,전라북도  연안일원,전라북도 부안군 진서면 (작당항),
285,17,1,"(격포항,위도항)",전라북도  연안일원,"전라북도 부안군 위도면 위도항,격포항",
286,17,1,위도면,전라북도연해,,
287,10,1,변산면,전라북도연해,격포항,
288,18,1,변산면,전라북도연해,격호항,
289,4,1,위도면,전라북도연해,치도항,
290,4,1,위도면,전라북도연해,치도항,
291,14,1,변산면,전라북도연해,"격포항,가력항",
292,3,1,진서면,전라북도연해,왕포항,
293,,,위도면,전라북도연해,"대리항,격포항",
2525,0,0,,,,
295,7,1,"위도항,격포항",전라북도  연안일원,"전라북도 부안군 위도면 위도항,격포항",
296,17,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 격포항,
297,17,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 격포항,
298,15,1,"(위도항,격포항)",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
299,11,1,"(위도항,격포항)",전라북도  연안일원,"전라북도 부안군 위도면 (격포항,위도항)",
300,16,1,"(위도항,격포항)",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
301,17,1,"(격포항,위도항)",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
302,7,1,"(위도항,격포항)",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
303,14,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 격포항,
304,5,1,"위도항,격포항",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
305,9,1,가력항,전라북도  연안일원,전라북도 부안군 변산면 가력항,
306,17,1,"위도항,격포항",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
307,3,1,운남면,전남,무안군 운남면,
308,17,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
309,14,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
310,7,1,"격포항,위도항",전라북도연안일원(후면참조),,
311,9,1,"격포항,가력항",전라북도연안일원(후면참조),,
312,11,1,"격포항,위도항",전라북도연안일원(후면참조),,
313,11,1,격포항,전라북도연안일원(후면참조),,
314,18,1,격포항,전라북도연안일원(후면참조),,
315,18,1,"격포항,위도항",전라북도연안일원(후면참조),,
316,10,1,격포항,전라북도연안일원(후면참조),,
317,11,1,격포항,전라북도연안일원(후면참조),전라북도 부안군 변산면 (격포항),
318,12,1,격포항,전라북도연안일원(후면참조),전라북도 부안군 변산면 (격포항),
319,3,1,왕포항,전라북도연안일원(후면참조),전라북도 부안군 진서면 (왕포항),
320,11,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
321,7,1,가력항,전라북도  연안일원,전라북도 부안군 변산면 (가력항),
322,7,1,"위도항,격포항",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
323,7,1,"(격포항,위도항)",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
324,14,1,"위도항,격포항",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
325,14,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
326,5,1,"위도항,격포항",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
327,8,1,"위도항,격포항",전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
328,12,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
329,11,1,변산면,전라북도  연안일원,,
330,11,1,격포항,전라북도  연안일원,,
331,17,1,위도면,전라북도  연안일원,,
332,9,1,,전라북도  연안일원,,
333,20,2,,전라북도  연안일원,,
334,11,1,격포항,전라북도  연안일원,,
335,15,1,,전라북도  연안일원,,
336,10,1,,전라북도  연안일원,,
337,8,1,변산면,전라북도  연안일원,,
338,10,1,위도항,전라북도  연안일원,,
339,14,1,위도항,전라북도  연안일원,,
2526,0,0,,,,
341,11,1,위도항,전라북도  연안일원,,
342,5,1,모항항,전라북도  연안일원,,
343,11,1,변산면,전라북도  연안일원,,
344,8,1,위도면,전라북도  연안일원,,
345,3,1,왕포항,전라북도  연안일원,,
346,11,1,격포항,전라북도  연안일원,,
347,6,1,모항항,전라북도  연안일원,,
348,15,1,"위도항, 격포항",전라북도  연안일원,,
349,17,1,,전라북도  연안일원,,
