일련번호,최대승객수,최대선원수,출입항명,낚시어선영업구역명,낚시어선영업장소명,영업장소특수주소
18980,5,1,,경상남도  연안일원,경상남도 거제시 남부면 대포항,대포항
18981,4,1,,경상남도  연안일원,경상남도 거제시 동부면 함박항,함박항
18982,18,1,,경상남도  연안일원,경상남도 거제시 일운면 예구항,예구항
18983,5,1,,경상남도  연안일원,경상남도 거제시 장승포동 장승포항,장승포항
18984,7,1,,경상남도  연안일원,경상남도 거제시 일운면 구조라항,구조라항
18985,11,1,,경상남도  연안일원,경상남도 거제시 남부면 다대다포항,다대다포항
18986,11,1,,경상남도  연안일원,경상남도 거제시 남부면 여차항,여차항
18987,4,1,,경상남도  연안일원,경상남도 거제시 남부면 여차항,여차항
18988,7,1,,경상남도  연안일원,경상남도 거제시 동부면 함박항,함박항
18989,11,1,,경상남도  연안일원,경상남도 거제시 동부면 함박항,함박항
18990,7,1,,경상남도  연안일원,경상남도 거제시 동부면 함박항,함박항
18991,13,1,,경상남도  연안일원,경상남도 거제시 남부면 다대다포항,다대다포항
18992,4,1,,경상남도  연안일원,경상남도 거제시 일운면 지세포항,지세포항
18993,6,1,마검포항,충남도 해상일원,남면 마검포항,
18994,21,1,안흥내항,충남도 해상일원,근흥면 안흥항,
18995,14,2,,경상남도  연안일원,경상남도 거제시 남부면 대포항,대포항
18996,7,1,,경상남도  연안일원,경상남도 거제시 남부면 다대다포항,다대다포항
18997,11,1,,경상남도  연안일원,경상남도 거제시 일운면 예구항,예구항
18998,9,1,,경상남도  연안일원,경상남도 거제시 장목면 외포항,외포항
18999,5,1,,경상남도  연안일원,경상남도 거제시 남부면 해금강항,해금강항
19000,5,1,,경상남도  연안일원,경상남도 거제시 남부면 도장포항,도장포항
19001,5,1,,경상남도  연안일원,경상남도 거제시 일운면 옥림항,옥림항
19002,11,1,48310310,경상남도연해,,
19003,4,1,,경상남도  연안일원,경상남도 거제시 남부면 도장포항,도장포항
19004,11,1,,경상남도  연안일원,경상남도 거제시 옥포동 옥포항,옥포항
19005,11,1,,경상남도  연안일원,경상남도 거제시 남부면 여차항,여차항
19006,11,1,,경상남도  연안일원,경상남도 거제시 남부면 다대다포항,다대다포항
19007,4,1,,경상남도  연안일원,경상남도 거제시 동부면 오송항,오송항
19008,11,1,,경상남도  연안일원,경상남도 거제시 남부면 다대다포항,다대다포항
19009,11,1,,경상남도  연안일원,경상남도 거제시 능포동 능포항,능포항
19010,11,1,지세포항,경상남도  연안일원,경상남도 거제시 일운면 지세포리 지세포항,
19011,5,1,청하면 청진2리,,,
19012,11,1,녹산항,경상남도  연안일원,경상남도 거제시 둔덕면 술역리 녹산항,
19013,4,1,내간항,경상남도  연안일원,경상남도 거제시 거제면 내간리 내간항,
19014,8,1,광리항,경상남도  연안일원,경상남도 거제시 사등면 덕호리 광리항,
19015,15,1,장승포항,경상남도  연안일원,경상남도 거제시 장승포동 장승포항,
