공간정보일련번호,공간정보,포인트명1,포인트명2,수심범위내용,주원료내용,조수물때내용,낚시방법대상내용,선상낚시포인트도분초위도,선상낚시포인트도분초경도,고시내용,행정구역명
46,POINT (1069550.54930794 1646014.93286413),사량도,화도부근,15m~18m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 릴찌/ 루어/ 장대 ▶참돔 - 부력/ 잠수,34-48-22.8N,128-15-37.4E,,경상남도 통영시
47,POINT (1069625.83132832 1624257.41006175),욕지도,흑초부근,36m~40m,펄,5 물~11물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶무늬오징어 - 릴찌/ 에깅 ▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶참돔 - 부력/ 잠수,34-36-36.5N,128-15-33.9E,,경상남도 통영시
48,POINT (1090970.35705689 1661985.41106422),거제도 북서부,만금여부근,16m~19m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶고등어 - 루어/ 릴찌/ 장대▶돌돔 - 릴찌/ 장대/ 원투 ▶보리멸 - 원투▶살오징어 - 에깅 ▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-56-55.1N,128-29-46.6E,거제도 북서부 부근은 갯바위권과 방파제건 조황이 비슷하니 안전하게 방파제에서 낚시를 즐겨도 된다.,경상남도 거제시
49,POINT (1112687.52199753 1664938.99042699),거제도 북동부,이수도부근,13m~18m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-58-23.1N,128-44-04.1E,,경상남도 거제시
50,POINT (1110901.54479067 1642967.49783145),거제도 남부,외조라도부근,33m~40m,자갈/ 조개껍질,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-46-30.7N,128-42-43.2E,,경상남도 거제시
51,POINT (898566.126536199 1940542.79406648),영종도·용유도,왕산해변북서측해상,6.0~9.9,모래/ 펄,조금 전후,▶숭어 - 릴찌/ 장대/ 홀치기▶우럭 - 릴찌/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶삼치 - 루어/ 릴찌▶붕장어 - 원투,37-27-30.7N,126-21-11.1E,,인천광역시 중구
52,POINT (899412.160783746 1844571.50980659),안면도 북부,황도연육교부근해상,-2.4~-1.4,모래/ 펄,초들물~중날물,▶우럭 - 릴찌/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶학꽁치 - 릴찌/ 장대▶광어 - 릴찌/ 원투▶숭어 - 릴찌/ 장대/ 홀치기▶도다리 - 원투,36-35-37.2N,126-22-31.7E,,충청남도 태안군
53,POINT (872552.627562517 1854892.69535408),가의도,선착장앞입표부근해상,13.3~13.5,펄/ 모래,상관없음,▶우럭 - 릴찌/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶고등어 - 루어/ 릴찌/ 장대▶광어 - 릴찌/ 원투▶주꾸미 - 릴찌/ 원투/ 장대▶학꽁치 - 릴찌/ 장대,36-41-00.5N,126-04-24.8E,,충청남도 태안군
54,POINT (876373.6921860051 1697653.9035321),송이도,민머리앞바다,-0.4~0.4,암,들물/날물,▶감성돔 - 릴찌/ 장대/ 원투▶민어 - 루어/ 지깅/ 원투▶숭어 - 릴찌/ 장대/ 홀치기▶농어 - 루어/ 릴찌▶붕장어 - 원투▶우럭 - 릴찌/ 원투,35-16-00.2N,126-08-27.0E,,전라남도 영광군
55,POINT (893835.387576865 1658168.69821255),압해도,대교밑해상,2.1~5.0,펄,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어 ▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투,34-54-45.9N,126-20-16.2E,,전라남도 신안군
56,POINT (930396.844584083 1596302.07442682),완도,장도앞해상,9.8~10.2,암,초들물~중날물,▶숭어 - 릴찌/ 장대/ 홀치기▶우럭 - 릴찌/ 원투▶농어 - 루어/ 릴찌▶감성돔 - 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶붕장어 - 원투,34-21-29.0N,126-44-35.2E,,전라남도 완도군
57,POINT (1023506.6258199 1621915.2007873),돌산도,작금마을동측입표부근,4.9~7.5,펄,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투▶붕장어 - 원투,34-35-28.0N,127-45-22.8E,,전라남도 여수시
58,POINT (1036266.40119773 1661850.76486332),남해도 북부,노량수도,17.5~23.2,펄/ 모래,초들물~중날,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-57-3.1N,127-53-49.9E,,경상남도 남해군
59,POINT (1050214.32212485 1657166.59284842),남해도 동부·신수도·창선도,송도부근해상,5.2~14.5,암,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-54-28.9N,128-02-58.8E,,경상남도 남해군
60,POINT (839433.704293541 1960348.81280377),두미도,청석골,5.0~16.1,펄,상관없음,▶감성돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶노래미 - 루어/ 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어,37-37-42.9N,125-40-49.4E,,경상남도 통영시
61,POINT (1145178.87475186 1672603.07531196),영도,생도부근,4.1~4.9,암,상관없음,▶감성돔 - 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶고등어 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶전갱이 - 루어/ 릴찌/ 장대▶학꽁치 - 릴찌/ 장대,35-02-16.9N,129-05-29.9E,,부산광역시 영도구
62,POINT (888702.089883796 1551293.34853337),추자도,상추자도남측입표부근,18.2~23.0,암,들물/썰물,▶감성돔 - 릴찌/ 장대/ 원투▶돌돔 - 민장대/ 릴찌/ 원투▶자리돔 - 장대/ 카드▶농어 - 루어/ 릴찌▶볼락 - 루어/ 릴찌/ 장대▶참돔 - 부력/ 잠수,33-56-54.9N,126-17-44.0E,,제주특별자치도 제주시
63,POINT (904531.108959514 1470273.78144531),제주도 남부,강정포구앞입표부근,14.6~18.0,암,초들물~중날물,▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶한치 - 루어/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶독가시치 - 목줄/ 장대/ 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅▶우럭 - 릴찌/ 원투,33-13-10.2N,126-28-31.8E,,제주특별자치도 서귀포시
64,POINT (787289.980724261 1632588.11516757),홍도,제비여부근,17.5~19m,암,조금 전후,▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-39-55.868N,125-10-42.986E,,전라남도 신안군
65,POINT (788138.8434073039 1638166.69032892),홍도,장도부근,23~27m,암,조금 전후,▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-42-57.459N,125-11-11.276E,,전라남도 신안군
66,POINT (847232.96585985 1581523.2517603),거차수도 부근,새여부근해상,21.5~29.5m,암,1물~4물,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌▶ 부시리  -  부력/ 잠수/ 지깅,34-12-57.237N,125-50-29.837E,,전라남도 진도군
67,POINT (889028.441785337 1550725.12702306),추자군도,묵리마을앞해상,16~38m,암,조금 전후/ 1~4물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅,33-56-36.579N,126-17-56.971E,,제주특별자치도 제주시
68,POINT (1003740.88578809 1622253.64003475),낭도 부근,목도해상,7.1~9.1m,암,5물~8물/ 조금 전후,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 붕장어  -  원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기,34-35-39.932N,127-32-26.862E,,전라남도 고흥군
69,POINT (1005282.32435512 1622937.06579299),낭도 부근,추도북측해상,3~3.9m,암,5물~8물/ 조금 전후,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 붕장어  -  원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기,34-36-02.095N,127-33-27.392E,,전라남도 고흥군
70,POINT (1027112.60904015 1632626.02180145),여수엑스포 부근,죽도인근해상,10.6~15.7m,펄,조금,▶ 벵에돔  -  목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌,34-41-15.399N,127-47-45.593E,,전라남도 여수시
71,POINT (966858.594313729 1580542.91316266),황제도,흰여해상,17.2~28m,펄,조금 전후/ 2~3물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 광어  -  릴찌/ 원투▶ 볼락  -  릴찌/ 장대/ 루어,34-13-03.878N,127-08-24.736E,,전라남도 완도군
72,POINT (989185.244269974 1563140.15904272),대삼부도,노루섬인근해상,14.8~16.8m,암,10물~13물,▶ 벵에돔  -  목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 쏨벵이  -  루어/ 릴찌,34-03-40.555N,127-22-58.105E,,전라남도 여수시
73,POINT (1027244.60909863 1604015.00591186),연도,역포항인근해상,0.8~1.1m,암,초들물/ 초날물/ 조금 전·후,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 볼락  -  릴찌/ 장대/ 루어▶ 농어/  삼치  -  루어/ 릴찌▶ 돌돔  -  민장대/ 릴찌/ 원투▶ 갑오징어  -  에깅,34-25-46.538N,127-47-47.480E,,전라남도 여수시
74,POINT (1062612.57204072 1620082.86822632),갈도 부근,갈도북측,11.6~11.8m,모래/ 조개껍질,2물~8물/ 사리전후,▶ 감성돔 - 릴찌/ 장대/ 원투▶ 돌돔 - 릴찌/ 장대/ 원투▶ 볼락 - 릴찌/ 장대/ 루어 ▶ 무늬오징어 - 릴찌/ 에깅,34-34-22.611N,128-10-57.430E,,경상남도 통영시
75,POINT (1062464.73786628 1618386.73065956),갈도 부근,귀신여우측하단,14.5~15.9m,암,2물~8물/ 사리전후,▶ 감성돔 - 릴찌/ 장대/ 원투▶ 돌돔 - 릴찌/ 장대/ 원투▶ 볼락 - 릴찌/ 장대/ 루어 ▶ 무늬오징어 - 릴찌/ 에깅,34-33-27.582N,128-10-51.179E,,경상남도 통영시
76,POINT (1154339.08166377 1686205.13863915),수영만 부근,청사포항인근해상,8.2~9.7m,암,6물~8물,▶ 도다리 - 원투▶ 붕장어 - 원투▶ 학꽁치 - 릴찌/ 장대▶ 무늬오징어 - 에깅▶ 망상어 - 민장대/ 릴찌,35-09-33.369N,129-11-40.426E,,부산광역시 남구
77,POINT (899808.899610717 1762640.88132443),말도·방축도,방축도동쪽바다,33m~37m,펄,중들물~만조시,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶도다리 - 원투▶우럭 - 릴찌/ 원투,35-51-18.7N,126-23-25.4E,,전라북도 군산시
78,POINT (887489.384759991 1735742.45064667),왕등도·위도,위도달루도부근,11m~13m,펄,중썰물~끝썰물,▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶숭어 - 릴찌/ 장대/ 훌치기 ▶우럭 - 릴찌/ 원투,35-36-41.0N,126-15-27.9E,,전라북도 부안군
79,POINT (944628.350306851 1590261.87070296),신지도,제도부근,11m~15m,펄,사리 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수 ▶학공치 - 릴찌/ 장대,34-18-16.0N,126-53-53.7E,,전라남도 완도군
80,POINT (1032940.7795378 1635820.88078303),남해도 남부,항도앞바다,22.6~27.3,암,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-42-58.5N,127-51-35.1E,,경상남도 남해군
81,POINT (950822.524366237 1503644.38692728),제주도 북동부·우도,비양도북측해상,22.0~30.0,암,들물/날물,▶참돔 - 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶무늬오징어 - 에깅▶독가시치 - 목줄/ 장대/ 부력/ 잠수,33-31-24.9N,126-58-13.5E,,제주특별자치도 제주시
82,POINT (812300.854197848 1581505.93937375),만재도,외마도남측선상,20.5~27m,암,조금 전후,▶ 돌돔 - 릴찌/ 장대/ 원투▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 우럭 - 릴찌/ 원투▶ 광어 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌▶ 볼락 - 릴찌/ 장대/ 루어▶ 문어 - 루어,34-12-36.112N,125-27-45.386E,,전라남도 신안군
83,POINT (902612.6574669 1949325.32580243),장봉도,부도부근,10m~15m,모래,조금 전·후/ 3물~5물,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶망둑어 - 원투 ▶숭어 - 릴찌/ 장대/ 훌치기▶우럭 - 릴찌/ 원투,37-32-17.2N,126-23-51.6E,,인천광역시 옹진군
84,POINT (903203.246536039 1895956.36599825),풍도·난지도,대난지도철도부근,12m~16m,모래,만조/ 간조 전·후,▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶도다리 - 원투 ▶우럭 - 릴찌/ 원투▶붕장어 - 원투,37-03-25.9N,126-24-40.7E,,경기도 안산시
85,POINT (890139.223301608 1807261.65679648),호도·녹도·외연도,소화사도부근,11m~15m,펄/ 모래,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶우럭 - 릴찌/ 원투,36-15-22.9N,126-16-37.6E,,충청남도 보령시
86,POINT (905701.3457033919 1748487.98725421),십이동파도·비안도,비안도치두도부근,8.3m~9.2m,모래/ 펄,들물 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투,35-43-41.5N,126-27-26.3E,,전라북도 군산시
87,POINT (898580.3149470531 1759635.06115019),말도·방축도,흑도와골서부근,12m~15m,자갈/ 조개껍질,중들물~만조시,▶감성돔 - 릴찌/ 장대/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶넙치 - 루어/ 원투 ▶도다리 - 원투 ▶우럭 - 릴찌/ 원투,35-49-40.7N,126-22-37.8E,,전라북도 군산시
88,POINT (811512.301313653 1626801.00167723),흑산도·삼태도,대흑산도서산말남동쪽바다,25.5m~40m,모래/ 펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶농어 - 루어/ 릴찌 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,34-37-05.2N,125-26-38.7E,,전라남도 신안군
89,POINT (962857.792349632 1607380.88318994),거금도,연흥도부근,5m~8m,펄,날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶도다리 - 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶숭어 - 릴찌/ 장대/ 훌치기 ▶우럭 - 릴찌/ 원투,34-27-34.7N,127-05-44.2E,거금 일주도로를 이용하면서 포인트 진입이 쉽지만 공고지 갯바위/ 우두마을 곶부리 포인트는 낚시자리가 좁고 협소하므로 안전에 주의해야한다.,전라남도 고흥군
90,POINT (1001736.77918562 1610901.45571607),나로도,내나로도등대앞바다,7m~10m,펄,초들물~만조,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶도다리 - 원투 ▶볼락 - 루어/ 릴찌/ 장대▶숭어 - 릴찌/ 장대/ 훌치기 ▶학공치 - 릴찌/ 장대,34-29-31.4N,127-31-08.1E,,전라남도 고흥군
91,POINT (1066055.06692951 1642008.997804),사량도,남무도부근,27m~30m,펄/ 모래/ 조개껍질,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 릴찌/ 루어/ 장대 ▶참돔 - 부력/ 잠수,34-46-13.6N,128-13-18.7E,,경상남도 통영시
92,POINT (892712.204979537 1972297.9448622),석모도,서도부근해상,2.9~7.5,암,초들물~중날물,▶농어 - 루어/ 릴찌▶숭어 - 릴찌/ 장대/ 홀치기▶우럭 - 릴찌/ 원투▶망둥어 - 릴찌/ 장대,37-44-38.5N,126-16-56.1E,,인천광역시 강화군
93,POINT (874469.8335826931 1664095.98640546),고이도·매화도·선도·증도,면도부근해상,1.4~2.3,펄,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶광어 - 릴찌/ 원투▶숭어 - 릴찌/ 장대/ 훌치기▶우럭 - 릴찌/ 원투▶붕장어 - 원투▶도다리 - 원투▶농어 - 루어/ 릴찌,34-57-50.3N,126-07-30.0E,,전라남도 신안군
94,POINT (1027675.4769069 1647709.21120093),남해도 북부,작장리앞바다,13.4~17.5,암,초들물~중날,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-49-25.0N,127-48-9.5E,,경상남도 남해군
95,POINT (876206.496189467 1582395.27349247),독거군도 부근,초도앞해상,14.9~17.5m,암,1물~4물,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 돌돔  -  릴찌/ 장대/ 원투▶ 광어 - 릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-13-39.399N,126-09-21.372E,,전라남도 진도군
96,POINT (1004449.35017611 1584728.82679674),간수제도,소두역서해상,28~32m,암,사리를 피한 조금 이후,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기▶ 삼치  -  루어/ 릴찌▶ 문어  -  루어,34-15-21.647N,127-32-53.973E,,전라남도 여수시
97,POINT (1091754.9020496 1662168.87113515),칠천도·가조도,만금여부근해상,12.6~15.3,펄,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶갑오징어 - 에깅▶도다리 - 원투▶볼락 - 릴찌/ 장대/ 루어,34-57-00.8N,128-30-17.6E,,경상남도 거제시
98,POINT (873834.0843612271 1896513.26838853),문갑도·선갑도,선갑도우두암부근,36m~39m,펄/ 모래,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-03-31.4N,126-04-51.5E,,인천광역시 옹진군
99,POINT (899148.4841516779 1757745.79193524),선유도·무녀도·장자도·신시도,증서부근,13.6m~15m,가는 모래,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶양태 - 루어/ 릴찌▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투,35-48-39.6N,126-23-01.3E,선유도 북도 동쪽/ 무녀도 홍여 부근/ 신시도 남단 간출여 부근/ 신시도 북단 곶부리의 갯바위 포인트는 진입이 어렵고 갯바위가 협소하므로 초보자는 안전에 주의해야 한다.,전라북도 군산시
100,POINT (756176.714979128 1984952.94032408),대청도·소청도,선진포항앞바다,13m~20m,가는 모래,조금 전후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶삼치 - 루어/ 릴찌▶쏨뱅이 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-49-54.4N,124-43-46.1E,,인천광역시 옹진군
101,POINT (750318.123534249 1981740.82978006),대청도·소청도,갑죽도부근,22m~27m,모래/ 조개껍질,조금 전후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶삼치 - 루어/ 릴찌▶쏨뱅이 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-48-04.6N,124-39-50.7E,,인천광역시 옹진군
102,POINT (874691.760663079 1918759.23834886),덕적도·소야도,단탄부근,12m~17m,모래,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 루어/ 릴찌,37-15-33.5N,126-05-12.8E,,인천광역시 옹진군
103,POINT (888715.0678428541 1909786.11832923),이작도·승봉도,선착장앞바다,10m~17m,모래/ 펄,,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶숭어 - 릴찌/ 장대/ 훌치기 ▶우럭 - 릴찌/ 원투,37-10-48.8N,126-14-46.8E,,인천광역시 옹진군
104,POINT (870576.7161493719 1900295.45093985),문갑도·선갑도,선갑도서측바다,35m~40m,가는 모래,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-05-32.5N,126-02-37.3E,,인천광역시 옹진군
105,POINT (865116.172615672 1910122.07144555),백아도·굴업도,굴업도항도부근,5m~6.2m,펄,1~3물/ 조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투,37-10-48.5N,125-58-49.8E,,인천광역시 옹진군
106,POINT (902304.845444714 1903061.68398898),풍도·난지도,풍도북동측바다,25m~27m,자갈/ 조개껍질,사리 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투,37-07-16.1N,126-24-01.0E,풍도 남/ 북측 채석장/ 대난지도 도끝이 부근 포인트는 진입이 어렵고 갯바위가 협소하므로 초보자는 안전에 주의해야한다.,경기도 안산시
107,POINT (900328.115517188 1899108.87484463),풍도·난지도,풍도남서측바다,18m~20m,모래,사리 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투,37-05-07.1N,126-22-42.8E,,경기도 안산시
108,POINT (887804.9227283291 1813599.97186984),호도·녹도·외연도,명덕도부근,17m~22m,모래,초들물,▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶우럭 - 릴찌/ 원투,36-18-47.6N,126-15-00.8E,호도 방파제 부근 갯바위/ 외연도 갯바위 포인트는 진입이 어렵고 갯바위가 협소하므로 초보자는 안전에 주의해야한다.,충청남도 보령시
109,POINT (872991.4174679071 1801472.77081184),호도·녹도·외연도,초망서부근,21.5m~27.5m,펄/ 조개껍질,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,36-12-07.5N,126-05-14.0E,,충청남도 보령시
110,POINT (894198.596971476 1762764.86239051),말도·방축도,말도와보농도사이바다,7m~10m,모래/ 조개껍질,들물/ 썰물 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶넙치 - 루어/ 원투 ▶도다리 - 원투 ▶우럭 - 릴찌/ 원투,35-51-20.6N,126-19-41.7E,,전라북도 군산시
111,POINT (904263.807282175 1760298.89509272),선유도·무녀도·장자도·신시도,도토머리도부근,13m~15m,모래/ 펄,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶삼치 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투 ▶양태 - 루어/ 릴찌,35-50-04.3N,126-26-24.0E,,전라북도 군산시
112,POINT (900636.2289911839 1755673.64147924),선유도·무녀도·장자도·신시도,장구도앞바다,8m~12m,가는 모래,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶삼치 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투 ▶양태 - 루어/ 릴찌,35-47-32.9N,126-24-01.5E,,전라북도 군산시
